short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions
L. Messi,34,Argentina,93,93,Paris Saint-Germain,78000000.0,320000.0,RW
Cristiano Ronaldo,36,Portugal,91,91,Manchester United,45000000.0,270000.0,ST
Neymar Jr,29,Brazil,91,91,Paris Saint-Germain,129000000.0,270000.0,LW
K. Mbappé,22,France,91,95,Paris Saint-Germain,194000000.0,230000.0,ST
M. Neuer,35,Germany,90,90,FC Bayern München,13500000.0,86000.0,GK
M. ter Stegen,29,Germany,90,92,FC Barcelona,99000000.0,250000.0,GK
H. Kane,27,England,90,90,Tottenham Hotspur,129500000.0,240000.0,ST
N. Kanté,30,France,90,90,Chelsea,100000000.0,230000.0,CDM
Casemiro,29,Brazil,89,89,Real Madrid CF,88000000.0,310000.0,CDM
Ederson,27,Brazil,89,91,Manchester City,94000000.0,200000.0,GK
J. Kimmich,26,Germany,89,90,FC Bayern München,108000000.0,160000.0,CDM
Alisson,28,Brazil,89,90,Liverpool,82000000.0,190000.0,GK
G. Donnarumma,22,Italy,89,93,Paris Saint-Germain,119500000.0,110000.0,GK
T. Kroos,31,Germany,88,88,Real Madrid CF,75000000.0,310000.0,CM
R. Sterling,26,England,88,89,Manchester City,107500000.0,290000.0,LW
Bruno Fernandes,26,Portugal,88,89,Manchester United,107500000.0,250000.0,CAM
H. Lloris,34,France,87,87,Tottenham Hotspur,13500000.0,125000.0,GK
Á. Di María,33,Argentina,87,87,Paris Saint-Germain,49500000.0,160000.0,RW
T. Müller,31,Germany,87,87,FC Bayern München,66000000.0,140000.0,CAM
C. Immobile,31,Italy,87,87,Lazio,67500000.0,125000.0,ST
M. Verratti,28,Italy,87,87,Paris Saint-Germain,79500000.0,155000.0,CM
Marquinhos,27,Brazil,87,90,Paris Saint-Germain,90500000.0,135000.0,CB
L. Goretzka,26,Germany,87,88,FC Bayern München,93000000.0,140000.0,CM
P. Dybala,27,Argentina,87,88,Juventus,93000000.0,160000.0,CF
T. Alexander-Arnold,22,England,87,92,Liverpool,114000000.0,150000.0,RB
J. Sancho,21,England,87,91,Manchester United,116500000.0,150000.0,RM
Rúben Dias,24,Portugal,87,91,Manchester City,102500000.0,170000.0,CB
G. Chiellini,36,Italy,86,86,Juventus,12000000.0,88000.0,CB
M. Hummels,32,Germany,86,86,Borussia Dortmund,44000000.0,95000.0,CB
Jordi Alba,32,Spain,86,86,FC Barcelona,47000000.0,200000.0,LB
Thiago,30,Spain,86,86,Liverpool,65000000.0,180000.0,CM
Sergio Busquets,32,Spain,86,86,FC Barcelona,45000000.0,200000.0,CDM
Parejo,32,Spain,86,86,Villarreal CF,53500000.0,64000.0,CM
L. Insigne,30,Italy,86,86,Napoli,65500000.0,125000.0,LW
R. Varane,28,France,86,88,Manchester United,68500000.0,180000.0,CB
Gerard Moreno,29,Spain,86,86,Villarreal CF,68000000.0,73000.0,ST
J. Vardy,34,England,86,86,Leicester City,33000000.0,180000.0,ST
Fabinho,27,Brazil,86,88,Liverpool,73500000.0,165000.0,CDM
João Cancelo,27,Portugal,86,87,Manchester City,71500000.0,185000.0,RB
A. Laporte,27,Spain,86,89,Manchester City,77000000.0,185000.0,CB
K. Coman,25,France,86,87,FC Bayern München,81000000.0,120000.0,LM
Bernardo Silva,26,Portugal,86,87,Manchester City,80000000.0,200000.0,CAM
Marcos Llorente,26,Spain,86,89,Atlético de Madrid,88000000.0,95000.0,CM
Rodri,25,Spain,86,89,Manchester City,81000000.0,175000.0,CDM
A. Gómez,33,Argentina,85,85,Sevilla FC,33500000.0,51000.0,CAM
Thiago Silva,36,Brazil,85,85,Chelsea,9500000.0,105000.0,CB
David Silva,35,Spain,85,85,Real Sociedad,22000000.0,44000.0,CAM
L. Bonucci,34,Italy,85,85,Juventus,17500000.0,110000.0,CB
